city name,lat,lon,temp,humidity,cloudiness,wind speed
mount isa,-20.7333,139.5,297.02,27,clear sky,6.17
scottsbluff,41.8666,-103.6672,296.28,44,scattered clouds,3.58
kabinda,-6.1333,24.4833,293.74,69,broken clouds,1.54
shingu,33.7333,135.9833,294.7,99,overcast clouds,0.58
ende,-8.8432,121.6623,300.16,78,broken clouds,0.97
college,64.8569,-147.8028,290.12,30,broken clouds,5.66
flinders,-34.5833,150.8552,289.38,70,clear sky,0.89
abbeville,50.1,1.8333,284.13,92,overcast clouds,3.68
panzhihua,26.5851,101.7128,300.35,46,few clouds,0.58
kalmunai,7.4167,81.8167,300.33,79,overcast clouds,1.69
pineville,31.3224,-92.4343,297.31,85,clear sky,5.87
eirunepe,-6.6603,-69.8736,295.77,96,clear sky,0.68
henties bay,-22.116,14.2845,290.85,78,clear sky,3.38
grand-santi,4.25,-54.3833,295.49,99,overcast clouds,1.01
rafaela,-31.2503,-61.4867,288.18,49,overcast clouds,1.79
ust-maya,60.4167,134.5333,280.87,26,overcast clouds,5.42
santiago del estero,-27.7951,-64.2615,294.73,74,overcast clouds,4.64
goderich,43.7501,-81.7165,295.33,35,clear sky,1.54
umm lajj,25.0213,37.2685,300.26,70,few clouds,4.35
gat,31.61,34.7642,293.93,79,clear sky,1.66
sungaipenuh,-2.0833,101.3833,293.85,82,overcast clouds,0.76
guerrero negro,27.9769,-114.0611,290.17,75,clear sky,11.05
aklavik,68.2191,-135.0107,284.61,73,light rain,2.24
usakos,-22.0,15.6,293.54,30,clear sky,3.22
ambanja,-13.6833,48.45,294.11,84,clear sky,1.84
komsomolskiy,40.4272,71.7189,294.83,30,overcast clouds,4.12
konevo,62.1215,39.3192,289.98,93,clear sky,3.33
tasiilaq,65.6145,-37.6368,269.24,77,clear sky,0.86
tagab,34.855,69.6492,288.1,47,clear sky,1.61
santa maria,-29.6842,-53.8069,281.76,69,clear sky,1.02
chiredzi,-21.05,31.6667,287.86,88,clear sky,0.79
santiago,-33.4569,-70.6483,289.36,69,overcast clouds,1.15
isangel,-19.55,169.2667,299.21,80,broken clouds,8.26
thongwa,16.7619,96.5278,301.24,63,overcast clouds,3.41
berdigestyakh,62.0989,126.6992,278.75,28,overcast clouds,1.81
abu samrah,35.3029,37.1841,291.77,49,clear sky,2.5
codrington,-38.2667,141.9667,286.82,55,overcast clouds,6.37
bentiu,9.2333,29.8333,299.24,67,overcast clouds,1.43
alice springs,-23.7,133.8833,286.9,18,clear sky,5.82
toccoa,34.5773,-83.3324,295.7,73,clear sky,0.0
guerande,47.3291,-2.4283,285.16,84,clear sky,7.33
berezovyy,51.6667,135.7,290.38,41,overcast clouds,0.86
jalu,29.0331,21.5482,298.9,20,clear sky,1.66
yulara,-25.2406,130.9889,288.06,29,overcast clouds,5.14
klyuchi,52.2667,79.1667,289.88,70,broken clouds,4.2
puerto escondido,15.85,-97.0667,303.61,74,scattered clouds,3.6
xinzhou,38.4092,112.7333,294.36,31,overcast clouds,1.79
galesong,-5.3166,119.3661,298.16,69,broken clouds,0.75
zachary,30.6485,-91.1565,296.36,90,scattered clouds,5.63
te karaka,-38.4654,177.8679,291.05,53,clear sky,3.95
itarema,-2.9248,-39.9167,298.46,87,broken clouds,3.58
kyzyl,51.7,94.45,286.91,71,overcast clouds,1.84
kangaatsiaq,68.3065,-53.4641,274.9,85,scattered clouds,8.09
emerald,-23.5333,148.1667,294.45,46,clear sky,3.6
